cust,st,g,a,salesrev
Aaron Cobb,TX,Male,67,$22
Aaron Mercer,PA,Male,29,$91
Abby Gillespie,NJ,Female,25,$289
Abby Klein,GA,Female,41,$1080
Abdul Brewer,AL,Male,53,$675
Abdul Carter,NC,Male,39,$20
Abdul Morgan,TX,Male,63,$240
Abe Farmer,GA,Male,43,$271
Abel Jacobs,LA,Male,62,$211
Abigail Carrillo,AZ,Female,37,$682
Abraham Bullock,FL,Male,42,$534
Abraham Gentry,CA,Male,36,$78
Abraham Rodriguez,AZ,Male,60,$224
Abram Ferrell,RI,Male,65,$389
Ada Carroll,MA,Female,35,$101
Ada Carson,CO,Female,31,$1159
Ada Hendricks,OR,Female,29,$292
Ada Hendrix,GA,Female,31,$230
Ada Huber,FL,Female,98,$75
Ada Ware,TN,Female,70,$669
Adam Freeman,GA,Male,50,$320
Adam Mathis,NY,Male,73,$65
Addie Buckley,VA,Female,48,$28
Addie Hensley,OR,Female,56,$40
Adela Cross,PA,Female,61,$234
Adela Dodson,PA,Female,30,$719
Adela Morrow,TX,Female,44,$111
Adele Baird,CO,Female,36,$937
Adele Britt,TX,Female,53,$729
Adele Huff,FL,Female,76,$575
Adele Jefferson,WA,Female,75,$275
Adrian Cantrell,WA,Male,70,$210
Adrian Curtis,NY,Male,61,$13
Adrian George,OH,Female,66,$20
Adrian Justice,GA,Female,37,$20
Adrian Pate,TX,Male,41,$52
Adrian Valenzuela,PA,Male,21,$40
Adrian Velez,PA,Female,50,$500
Adrian Wilcox,VA,Female,64,$191
Adrian Wong,GA,Female,42,$675
Adriana Mayer,CA,Female,61,$400
Adriana Oneal,MA,Female,32,$15
Adrienne Lawrence,CO,Female,24,$160
Agnes Cox,NJ,Female,24,$429
Agnes Fowler,NM,Female,45,$21
Agnes Kirk,FL,Female,79,$367
Agnes Rhodes,FL,Female,72,$490
Ahmed Miranda,VA,Male,33,$259
Ahmed Nieves,SC,Male,23,$409
Ahmed Vega,MA,Male,63,$264
Aida Peck,AZ,Female,43,$160
Aida Riddle,CO,Female,32,$323
Aileen Holland,CA,Female,49,$280
Aileen Soto,GA,Female,51,$120
Aimee Bates,TX,Female,58,$328
Aimee Hewitt,CA,Female,61,$630
Aimee Moody,NY,Female,76,$140
Al Holcomb,VA,Male,26,$203
Alan Coleman,NY,Male,38,$140
Alana Walsh,AZ,Female,72,$704
Albert Rocha,FL,Male,58,$160
Alberta Atkins,CA,Female,72,$80
Alberta Boyer,WA,Female,52,$374
Alberta Odonnell,GA,Female,42,$1630
Alberta Pierce,NY,Female,67,$80
Alberto Finch,NY,Male,64,$179
Alberto Paul,FL,Male,75,$322
Alden Decker,NC,Male,69,$279
Alden Palmer,PA,Male,66,$343
Alec Haley,FL,Male,73,$238
Alec Mayer,NC,Male,34,$184
Alec Nelson,TN,Male,30,$10
Alejandra Morrow,FL,Female,81,$145
Alejandro Davenport,OH,Male,48,$175
Alejandro Roberts,FL,Male,90,$171
Alexander Rhodes,LA,Male,74,$189
Alexandra Hughes,FL,Female,88,$60
Alexis Blackwell,VA,Female,47,$100
Alexis Carroll,CA,Female,39,$239
Alexis Hess,CA,Female,58,$100
Alexis Kennedy,PA,Female,52,$295
Alexis Walsh,FL,Female,53,$146
Alfred Vinson,WA,Male,33,$120
Alfreda Cohen,FL,Female,77,$59
Alfreda Crawford,NY,Female,44,$287
Alfreda Fuentes,TX,Female,58,$153
